"category","avg_rating","total_reviews"
"Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Shower&WallMounts","4.1","1"
"Home&Kitchen|Heating,Cooling&AirQuality|Parts&Accessories|FanParts&Accessories","4.1","1"
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|YogurtMakers","4.1","1"
"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|TonerCartridges","4.1","1"
"Computers&Accessories|Accessories&Peripherals|HardDriveAccessories|Caddies","4.1","1"
"Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Flashes&SelfieLights|SelfieLights","4.1","1"
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SandwichMakers","4.1","11"
"Computers&Accessories|Accessories&Peripherals|TabletAccessories|Stands","4.1","1"
"Computers&Accessories|NetworkingDevices","4.1","1"
"Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters","4.09","18"
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods","4.08","9"
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales","4.08","10"
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|DripCoffeeMachines","4.08","5"
"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions","4.07","6"
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders","4.06","19"
"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear","4.06","8"
"Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Lapdesks","4.06","14"
"Electronics|Cameras&Photography|Accessories|Tripods&Monopods|TripodLegs","4.05","2"
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|InductionCooktop","4.05","10"
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MouseSets","4.05","10"
"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|InstantWaterHeaters","4.05","23"
"Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCSpeakers","4.05","2"
"Electronics|HomeAudio|Speakers|BluetoothSpeakers","4.05","6"
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MiniFoodProcessors&Choppers","4.04","8"
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|LintShavers","4.04","22"
"Computers&Accessories|Accessories&Peripherals|Cables&Accessories|CableConnectionProtectors","4.03","3"
"Electronics|HomeTheater,TV&Video|Accessories|TVMounts,Stands&Turntables|TVWall&CeilingMounts","4.03","6"
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|WaffleMakers&Irons","4.03","3"
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|Wet-DryVacuums","4.03","6"
"Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterCartridges","4.03","3"
"Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|Headsets","4.03","3"
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|SteamIrons","4.03","12"
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|ElectricKettles","4.03","19"
"Electronics|WearableTechnology|SmartWatches","4.03","76"
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders","4.01","27"
"Electronics|HomeTheater,TV&Video|AVReceivers&Amplifiers","4.0","1"
"Computers&Accessories|Laptops|TraditionalLaptops","4.0","1"
"HomeImprovement|Electrical|Adapters&Multi-Outlets","4.0","1"
"Electronics|Headphones,Earbuds&Accessories|Headphones|Over-Ear","4.0","2"
"Health&PersonalCare|HomeMedicalSupplies&Equipment|HealthMonitors|WeighingScales|DigitalBathroomScales","4.0","1"
"Electronics|HomeAudio|Speakers|OutdoorSpeakers","4.0","4"
"Electronics|HomeAudio|Accessories|SpeakerAccessories|Mounts","4.0","1"
"Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBaskets","3.99","13"
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|GraphicTablets","3.98","11"
"Computers&Accessories|Accessories&Peripherals|LaptopAccessories|LaptopChargers&PowerSupplies","3.98","5"
"Home&Kitchen|Heating,Cooling&AirQuality|Humidifiers","3.97","3"
"Electronics|Mobiles&Accessories|MobileAccessories|AutomobileAccessories|Cradles","3.97","3"
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Rice&PastaCookers","3.96","5"
"Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|Kettle&ToasterSets","3.96","13"
